Date,Open,High,Low,Close,Volume
5/7/18,266.890015,268.019989,266.109985,249.266983,55304900
5/8/18,266.5,267.329987,265.149994,249.266983,67499200
5/9/18,267.679993,269.869995,267.089996,251.676315,59666100
5/10/18,270.339996,272.390015,270.220001,254.029694,72063900
5/11/18,272.160004,273.149994,271.579987,254.804764,59871500
5/14/18,273.339996,274.079987,272.359985,254.926163,54790600
5/15/18,271.589996,271.609985,270.029999,253.170532,87036100
5/16/18,271.140015,272.76001,271.109985,254.235107,53942600
5/17/18,271.940002,273.230011,271.130005,254.020401,56536400
5/18/18,271.619995,272.029999,270.929993,253.38533,64368000
5/21/18,273.01001,273.980011,272.570007,255.290329,58025900
5/22/18,273.959991,274.25,272.23999,254.580673,52966400
5/23/18,271.170013,273.390015,270.98999,255.281052,64694200
5/24/18,272.910004,273.220001,270.779999,254.758087,76043800
5/25/18,272.149994,272.859985,271.579987,254.151031,56374800
5/29/18,270.309998,271.170013,267.76001,251.228119,115908600
5/30/18,270.5,273.109985,270.420013,254.580673,69678400
5/31/18,272.149994,272.48999,270.26001,253.021118,93519900
6/1/18,272.410004,273.940002,272.329987,255.505249,71258400
6/4/18,274.529999,275.190002,274.26001,256.719208,45385200
6/5/18,275.049988,275.529999,274.179993,256.906006,51135000
6/6/18,275.790009,277.519989,275.089996,259.053894,62732200
6/7/18,277.950012,278.279999,276.339996,259.025848,72969400
6/8/18,276.850006,278.25,276.660004,259.791656,72139700
6/11/18,278.440002,279.369995,278.309998,260.137177,58892500
6/12/18,279.029999,279.329987,278.190002,260.473358,72329000
6/13/18,279.190002,279.480011,277.799988,259.642242,79070600
6/14/18,279.01001,279.329987,278.059998,260.295929,77097600
6/15/18,276.600006,277.51001,275.350006,259.963837,120041600
6/18/18,275.48999,276.700012,274.950012,259.429108,52917600
6/19/18,274,275.75,273.529999,258.434814,97531500
6/20/18,276.269989,276.720001,275.589996,258.875763,53785500
6/21/18,275.959991,275.980011,273.679993,257.252838,71061400
6/22/18,275.660004,275.790009,274.48999,257.721893,54898500
6/25/18,273.440002,273.619995,269.100006,254.213516,137854200
6/26/18,271.640015,272.559998,270.790009,254.776352,68547400
6/27/18,272.26001,273.869995,269.179993,252.665833,105110700
6/28/18,269.290009,271.75,268.48999,254.110413,76650500
6/29/18,272.119995,273.660004,271.149994,254.476181,97592500
7/2/18,269.51001,272.040009,269.23999,255.020279,63554800
7/3/18,272.869995,272.980011,270.420013,254.119751,42187100
7/5/18,272.170013,273.179993,270.959991,256.19281,56925900
7/6/18,273.140015,275.839996,272.709991,258.359741,66493700
7/9/18,276.549988,277.959991,276.5,260.686127,50550400
7/10/18,278.410004,279.01001,278.079987,261.624207,51966800
7/11/18,277.149994,278.040009,276.519989,259.710571,77054700
7/12/18,278.279999,279.429993,277.600006,262.065094,60124700
7/13/18,279.170013,279.929993,278.660004,262.271484,48216000
7/16/18,279.640015,279.799988,278.839996,262.036957,48201000
7/17/18,278.470001,280.910004,278.410004,263.096954,52315500
7/18/18,280.559998,281.179993,280.059998,263.650421,44593500
7/19/18,280.309998,280.73999,279.459991,262.656128,61412100
7/20/18,279.769989,280.480011,279.5,262.355896,82337700
7/23/18,279.450012,280.429993,279.059998,262.843658,47047600
7/24/18,281.790009,282.559998,280.630005,264.16629,68026900
7/25/18,281.329987,284.369995,281.279999,266.417725,78882900
7/26/18,283.200012,284.109985,283.089996,265.789154,57919500
7/27/18,283.709991,283.820007,280.380005,263.988037,76768700
7/30/18,281.51001,281.690002,279.359985,262.609222,63742500
7/31/18,280.809998,282.019989,280.380005,263.903687,68570500
8/1/18,281.559998,282.130005,280.130005,263.462769,53853300
8/2/18,279.390015,282.579987,279.160004,264.89801,63426400
8/3/18,282.529999,283.660004,282.329987,266.033081,53935400
8/6/18,283.640015,284.98999,283.200012,267.008636,39400900
8/7/18,285.390015,286.01001,285.23999,267.890381,43196600
8/8/18,285.390015,285.910004,284.940002,267.777863,42114600
8/9/18,285.529999,285.970001,284.920013,267.412048,35717000
8/10/18,283.450012,284.059998,282.359985,265.620331,77076000
8/13/18,283.470001,284.160004,281.769989,264.626038,65732900
8/14/18,282.920013,284.170013,282.480011,266.314514,43842000
8/15/18,282.380005,282.540009,280.160004,264.325775,102925400
8/16/18,283.399994,285.040009,283.359985,266.4646,69967900
8/17/18,283.829987,285.559998,283.369995,267.402618,65618500
8/20/18,285.570007,285.970001,285.059998,267.974792,39807500
8/21/18,286.25,287.309998,285.709991,268.603363,67272000
8/22/18,285.880005,286.76001,285.579987,268.443848,44993300
8/23/18,285.970001,286.940002,285.429993,268.087433,49204900
8/24/18,286.440002,287.670013,286.380005,269.700867,57487400
8/27/18,288.859985,289.899994,288.679993,271.830261,57072400
8/28/18,290.299988,290.420013,289.399994,271.961609,46943500
8/29/18,290.160004,291.73999,289.890015,273.425018,61485500
8/30/18,290.940002,291.359985,289.630005,272.318024,61229500
8/31/18,289.839996,290.809998,289.290009,272.327423,66140800
9/4/18,289.839996,290.209991,288.679993,271.858398,57594400
9/5/18,289.410004,289.640015,287.890015,271.126709,72452400
9/6/18,289.149994,289.48999,287,270.310577,65909900
9/7/18,286.980011,288.700012,286.709991,269.785309,73524800
9/10/18,288.73999,289.040009,287.880005,270.254364,50210900
9/11/18,287.369995,289.549988,286.980011,271.145447,50530500
9/12/18,289.059998,289.799988,288.230011,271.211121,59810800
9/13/18,290.320007,291.040009,290,272.815247,51034200
9/14/18,291.059998,291.269989,290,272.862152,55079900
9/17/18,290.820007,290.859985,289.029999,271.417542,68244000
9/18/18,289.579987,291.579987,289.549988,272.89032,61930400
9/19/18,290.970001,291.690002,290.829987,273.181091,49080600
9/20/18,292.640015,293.940002,291.23999,275.394867,100360600
9/21/18,293.089996,293.220001,291.809998,275.14328,105479700
9/24/18,291.339996,291.5,290.369995,274.229248,53409600
9/25/18,291.529999,291.649994,290.480011,273.974884,44370000
9/26/18,290.910004,292.23999,289.410004,273.155029,79739700
9/27/18,290.410004,291.910004,290.100006,273.918304,59249500
9/28/18,289.98999,291.279999,289.950012,273.946533,70091400
10/1/18,292.109985,292.929993,290.980011,274.898315,62078900
10/2/18,291.559998,292.359985,291.140015,274.738068,47258200
10/3/18,292.73999,293.209991,291.320007,274.888885,64694600
10/4/18,291.179993,291.23999,287.660004,272.740479,111545900
10/5/18,289.690002,290.269989,286.220001,271.213867,105951700
10/8/18,287.049988,288.220001,285.5,271.213867,87742200
10/9/18,287.390015,288.859985,286.769989,270.818054,74339000
10/10/18,286.829987,286.910004,277.880005,262.243134,214731000
10/11/18,277.079987,278.899994,270.359985,256.466797,274840500
10/12/18,276.769989,277.089996,272.369995,260.028717,183186500
10/15/18,275.549988,277.040009,274.299988,258.568115,102263700
10/16/18,276.600006,280.820007,276.070007,264.221954,118255800
10/17/18,280.440002,281.149994,277.559998,264.269104,110626000
10/18/18,279.399994,280.070007,274.970001,260.452759,134557500
10/19/18,277.130005,279.299988,275.470001,260.311432,139901600
10/22/18,277,277.359985,274.410004,259.142975,82415800
10/23/18,270.950012,274.869995,268.609985,257.8237,146352700
10/24/18,273.329987,273.76001,264.700012,250.012024,177806700
10/25/18,267.380005,271.809998,266.230011,254.497437,138061500
10/26/18,265.920013,271,262.290009,250.021423,201574600
10/29/18,268.799988,270.25,259.850006,248.636307,160749100
10/30/18,263.670013,268.119995,263.119995,252.320724,157116000
10/31/18,270.649994,273.230011,270.119995,255.015671,128296300
11/1/18,271.600006,273.730011,270.380005,257.729553,99495000
11/2/18,274.75,275.230011,269.589996,256.202972,122634100
11/5/18,272.440002,274.01001,271.350006,257.616425,65622500
11/6/18,273.320007,275.299988,273.25,259.246643,60085900
11/7/18,277.559998,281.100006,277.079987,264.796814,102752100
11/8/18,280.109985,281.220001,279.220001,264.316162,65584900
11/9/18,279.029999,279.23999,276.179993,261.734344,98812600
11/12/18,277.190002,277.459991,271.98999,256.843781,99673600
11/13/18,273.089996,275.329987,271.25,256.363129,98176600
11/14/18,274.160004,274.609985,268.450012,254.610504,125335900
11/15/18,268.779999,273.540009,267.01001,257.267822,135101400
11/16/18,271.790009,274.75,271.209991,257.936798,126668000
11/19/18,273.049988,273.380005,268.070007,253.574005,103061700
11/20/18,265.359985,267,263.149994,248.881302,136021300
11/21/18,265.859985,267.149994,265.01001,249.729279,75563700
11/23/18,263.179993,264.820007,263.070007,248.061432,42807900
11/26/18,265.779999,267.75,265.339996,252.066254,79981400
11/27/18,266.339996,268.399994,265.660004,252.914337,75502400
11/28/18,269.600006,274.579987,268.329987,258.737762,127629600
11/29/18,273.709991,275.549988,272.429993,258.172394,82346400
11/30/18,273.809998,276.279999,273.450012,259.746094,98204200
12/3/18,280.279999,280.399994,277.51001,263.185516,103176300
12/4/18,278.369995,278.850006,269.899994,254.657608,177986000
12/6/18,265.920013,269.970001,262.440002,254.271286,204185400
12/7/18,269.459991,271.220001,262.630005,248.362991,161018900
12/10/18,263.369995,265.160004,258.619995,248.834167,151445900
12/11/18,267.660004,267.869995,262.480011,248.890747,121504400
12/12/18,267.470001,269,265.369995,250.143997,97976700
12/13/18,266.519989,267.48999,264.119995,250.059143,96662700
12/14/18,262.959991,264.029999,259.850006,245.441879,116961100
12/17/18,259.399994,260.649994,253.529999,240.626709,165492300
12/18/18,257.200012,257.950012,253.279999,240.362854,134515100
12/19/18,255.169998,259.399994,249.350006,236.763245,214992800
12/20/18,249.860001,251.619995,244.649994,232.90921,252053400
12/21/18,246.740005,249.710007,239.979996,228.137024,255345600
12/24/18,239.039993,240.839996,234.270004,222.108978,147311600
12/26/18,235.970001,246.179993,233.759995,233.331009,218485400
12/27/18,242.570007,248.289993,238.960007,235.12236,186267300
12/28/18,249.580002,251.399994,246.449997,234.819046,153100200
12/31/18,249.559998,250.190002,247.470001,236.875809,144299400
1/2/19,245.979996,251.210007,245.949997,237.122238,126925200
1/3/19,248.229996,248.570007,243.669998,231.463852,144140700
1/4/19,247.589996,253.110001,247.169998,239.216888,142628800
1/7/19,252.690002,255.949997,251.690002,241.103012,103139100
1/8/19,256.820007,257.309998,254,243.368256,102512600
1/9/19,257.559998,258.910004,256.190002,244.505661,95006600
1/10/19,256.26001,259.160004,255.5,245.368149,96823900
1/11/19,257.679993,259.01001,257.029999,245.462921,73858100
1/14/19,256.859985,258.299988,256.410004,243.965378,70908200
1/15/19,257.820007,260.700012,257.809998,246.761429,85208300
1/16/19,260.829987,261.970001,260.600006,247.358521,77636700
1/17/19,260.01001,263.920013,259.959991,249.235184,96118400
1/18/19,264.980011,266.980011,263,252.552521,127900300
1/22/19,264.820007,265.059998,261.059998,249.140411,115531200
1/23/19,264.01001,264.790009,260.660004,249.661728,86030300
1/24/19,263.209991,264.200012,262.079987,249.794388,59204100
1/25/19,265.609985,266.700012,263.660004,251.90802,96883400
1/28/19,263.390015,263.829987,261.790009,249.993439,85613700
1/29/19,263.920013,264.549988,262.480011,249.661728,66136300
1/30/19,265.100006,268.519989,264.25,253.614044,92473700
1/31/19,267.51001,270.470001,267.269989,255.841431,104012100
2/1/19,270.149994,271.200012,269.179993,255.964569,85782500
2/4/19,270.109985,272.029999,269.359985,257.765503,60744800
2/5/19,272.440002,273.440002,271.880005,258.845978,79552800
2/6/19,272.790009,273.339996,271.920013,258.5047,58347800
2/7/19,270.940002,271.549988,268.290009,256.040466,95482000
2/8/19,268.75,270.579987,267.829987,256.353241,75788900
2/11/19,271.200012,271.48999,270.029999,256.495392,68021400
2/12/19,272.420013,274.519989,272.339996,259.793732,72270200
2/13/19,275.029999,275.929993,274.559998,260.637268,65277200
2/14/19,273.779999,275.640015,272.869995,260.059204,83234400
2/15/19,276.359985,277.410004,276.130005,262.893097,97088700
2/19/19,276.480011,278.579987,276.470001,263.348114,59120800
2/20/19,277.809998,278.920013,277.25,263.878754,76610800
2/21/19,277.700012,278.100006,276.350006,262.94046,64214700
2/22/19,278.109985,279.359985,277.399994,264.57074,78114600
2/25/19,280.730011,281.309998,279.429993,264.930878,69030700
2/26/19,279.130005,280.299988,278.899994,264.741333,56844100
2/27/19,278.519989,279.589996,277.480011,264.627533,56921600
2/28/19,278.959991,279.450012,278.320007,264.134674,69268300
